uri,der,der_overlap_system,jer,count_ref,count_hyp,count_error,missed_detection,false_alarm,confusion,der_overlap_assigned,region_t_and_d,region_t_minus_d,region_d_minus_t
EN2002a,0.01934166350496489,0.029609059778024752,0.03475397150612128,4,4,0,1.806312500039096,14.085687500035778,33.04743749999753,0.029131210148586335,518.9939687499805,0.5860312500195146,7.674781250015741
EN2002b,0.05411147565658975,0.08206088654595799,0.07425152975156517,4,6,2,1.5575937500234556,9.289468750022753,94.31534374999654,0.08162969618279747,389.43671874998626,0.42328125001225203,5.370781250012435
EN2002c,0.020647950287738314,0.04194464073127296,0.036753291480532656,3,3,0,1.2870312500464074,12.110156250047844,55.642124999999055,0.04153920527692331,629.8545937499769,0.6054062500231936,7.649156250025147
EN2002d,0.0221471290860501,0.03549085600327692,0.04257844496034928,4,4,0,1.35821875003408,13.048218750037446,44.856843749999,0.03506955421416034,578.4100937499824,0.5999062500168648,7.709281250019568
ES2004a,0.05015286080158523,0.1166957874121665,0.07118219452266811,4,6,2,0.5180937500043168,4.926218750004689,40.86834374999886,0.11597604665439307,124.07596874999743,0.2440312500026529,2.8915312500033075
ES2004b,0.032378599337251464,0.12172793246449023,0.03776853761847396,4,5,1,0.9856875000293748,8.766937500024088,62.550406249995945,0.12092203649201243,202.74209374998748,0.4179062500142692,5.0904062500122365
ES2004c,0.022975343288193742,0.07574095991139448,0.02881990306343378,4,5,1,0.9367812500254971,9.414281250028138,41.21640624999857,0.0749479849557643,214.59734374998536,0.41265625001310724,5.4020312500174725
ES2004d,0.03659777278913998,0.10256270104547091,0.05792034826587247,4,5,1,1.601031250032495,11.24165625003355,60.600624999996455,0.10176749320149996,258.7661562499868,0.5438437500147018,5.715718750013611
IS1009a,0.03259102421325435,0.07588597036052679,0.06857623258219489,4,5,1,0.40468750000239595,3.686562500002154,18.588843749999157,0.07510484992161662,81.94090624999899,0.1590937500011833,1.9784687500019302
IS1009b,0.04059151172233224,0.12366432566006426,0.04976054903186507,4,5,1,0.7695937500186432,7.378968750018942,72.34318749999558,0.12289969092442582,179.07734374998947,0.3726562500103867,4.404531250010699
IS1009c,0.023892162895658466,0.14214414162407996,0.030499403878544627,4,5,1,0.652125000013541,5.304000000015364,31.899812499997125,0.14130174467316192,74.77037499999415,0.16962500000518332,2.2640000000051757
IS1009d,0.04332203353275152,0.14711870078186126,0.07447238596040069,4,5,1,0.9371875000230858,9.625312500023114,64.75718749999558,0.14654542153117378,161.9621562499937,0.2778437500066886,4.509718750008631
TS3003a,0.02115684005483385,0.15002058140793526,0.144351496993291,4,4,0,0.4854062500102714,4.537656250008178,16.683093749999095,0.1490175511019001,44.62365624999656,0.1323437500032174,1.68134375000243
TS3003b,0.013957068799807229,0.0824380945494912,0.034118260062279464,4,4,0,0.8634375000241192,7.419687500026285,17.12571874999867,0.0811907250431911,74.12831249999388,0.23168750000843374,2.5348125000070922
TS3003c,0.00951108618188805,0.05737780536658172,0.01398861586860969,4,4,0,0.7917187500213032,7.122343750021134,10.102312499998998,0.05641086185728982,89.5613749999938,0.19862500000694894,2.6605000000058645
TS3003d,0.017450938010217975,0.05164736902273219,0.03919157627756702,4,4,0,1.4721875000400075,13.169687500035185,21.487499999999535,0.05072573856834319,198.31765624999085,0.4223437500100964,5.717968750007316
